Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,Longest Fork,Blocks in Forks,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Time Interval
811.161,368.725,507115,78202,6652,1.28646e+06,1.32951e+06,153090,96390,109633,165375,122850,79798,3.36338e+08,4.92885e+08,8,104,71550,0,0,0,0
811.272,368.981,507127,78929,6704,1.29656e+06,1.32884e+06,140498,97229.5,110540,151773,112745,80471.6,3.39066e+08,4.51966e+08,8,104,72225,0,0,0,0
811.38,369.235,507139,79656,6756,1.30531e+06,1.32825e+06,129600,97956,111325,140000,104000,81054.7,3.41425e+08,4.16575e+08,8,104,72900,0,0,0,0
811.486,369.484,507151,80383,6808,1.31286e+06,1.32775e+06,120192,98583.2,112002,129837,96450,81558,3.43487e+08,3.85651e+08,8,104,73575,0,0,0,0
811.591,369.729,507163,81110,6860,1.31961e+06,1.3273e+06,111780,99144,112608,120750,89700,82008,3.45252e+08,3.59171e+08,8,104,74250,0,0,0,0
811.694,369.969,507174,81837,6912,1.3252e+06,1.32693e+06,104814,99608.4,113110,113225,84110,82380.7,3.46729e+08,3.37016e+08,8,104,74925,0,0,0,0
809.933,365.875,506977,82754,7154,1.32123e+06,1.32123e+06,99933.8,99933.8,113117,113117,82488.8,82488.8,3.46122e+08,3.46122e+08,8,127.75,75600,0,0,0,0
810.048,366.139,506990,83481,7206,1.07976e+06,1.34329e+06,410670,79218,91083,443625,329550,66018,2.76059e+08,1.39707e+09,8,104,76275,0,0,0,0
810.161,366.399,507003,84208,7258,1.08951e+06,1.34264e+06,398520,80028,91958,430500,319800,66668,2.83474e+08,1.28584e+09,8,104,76950,0,0,0,0
810.272,366.658,507015,84935,7310,1.12266e+06,1.34043e+06,357210,82782,94933,385875,286650,68878,2.91289e+08,1.16862e+09,8,104,77625,0,0,0,0
810.382,366.91,507027,85662,7362,1.16263e+06,1.33776e+06,307395,86103,98520.5,332062,246675,71543,3.03029e+08,9.92511e+08,8,104,78300,0,0,0,0
810.489,367.161,507039,86389,7414,1.19286e+06,1.33575e+06,269730,88614,101233,291375,216450,73558,3.10815e+08,8.75733e+08,8,104,78975,0,0,0,0
810.595,367.405,507051,87116,7466,1.22178e+06,1.33382e+06,233685,91017,103829,252438,187525,75486.3,3.19121e+08,7.5113e+08,8,104,79650,0,0,0,0
810.699,367.646,507063,87843,7518,1.24356e+06,1.33237e+06,206550,92826,105783,223125,165750,76938,3.24806e+08,6.65864e+08,8,104,80325,0,0,0,0
810.801,367.885,507074,88570,7570,1.26038e+06,1.33125e+06,185591,94223.2,107292,200484,148931,78059.2,3.29388e+08,5.97139e+08,8,104,81000,0,0,0,0
810.901,368.12,507085,89297,7622,1.27497e+06,1.33028e+06,167400,95436,108602,180833,134333,79032.4,3.33456e+08,5.36115e+08,8,104,81675,0,0,0,0
811,368.351,507097,90024,7674,1.28646e+06,1.32951e+06,153090,96390,109633,165375,122850,79798,3.36338e+08,4.92885e+08,8,104,82350,0,0,0,0
811.097,368.577,507107,90751,7726,1.29656e+06,1.32884e+06,140498,97229.5,110540,151773,112745,80471.6,3.39066e+08,4.51966e+08,8,104,83025,0,0,0,0
811.193,368.801,507118,91478,7778,1.30531e+06,1.32825e+06,129600,97956,111325,140000,104000,81054.7,3.41425e+08,4.16575e+08,8,104,83700,0,0,0,0
811.287,369.021,507129,92205,7830,1.31286e+06,1.32775e+06,120192,98583.2,112002,129837,96450,81558,3.43487e+08,3.85651e+08,8,104,84375,0,0,0,0
811.38,369.239,507139,92932,7882,1.31961e+06,1.3273e+06,111780,99144,112608,120750,89700,82008,3.45252e+08,3.59171e+08,8,104,85050,0,0,0,0
811.471,369.453,507149,93659,7934,1.3252e+06,1.32693e+06,104814,99608.4,113110,113225,84110,82380.7,3.46729e+08,3.37016e+08,8,104,85725,0,0,0,0
809.933,365.875,506977,94576,8176,1.32123e+06,1.32123e+06,99933.8,99933.8,113117,113117,82488.8,82488.8,3.46122e+08,3.46122e+08,8,127.75,86400,0,0,0,0
810.034,366.107,506989,95303,8228,1.07976e+06,1.34329e+06,410670,79218,91083,443625,329550,66018,2.76059e+08,1.39707e+09,8,104,87075,0,0,0,0
810.133,366.335,507000,96030,8280,1.08951e+06,1.34264e+06,398520,80028,91958,430500,319800,66668,2.83474e+08,1.28584e+09,8,104,87750,0,0,0,0
810.231,366.563,507011,96757,8332,1.12266e+06,1.34043e+06,357210,82782,94933,385875,286650,68878,2.91289e+08,1.16862e+09,8,104,88425,0,0,0,0
810.327,366.785,507021,97484,8384,1.16263e+06,1.33776e+06,307395,86103,98520.5,332062,246675,71543,3.03029e+08,9.92511e+08,8,104,89100,0,0,0,0
810.422,367.006,507032,98211,8436,1.19286e+06,1.33575e+06,269730,88614,101233,291375,216450,73558,3.10815e+08,8.75733e+08,8,104,89775,0,0,0,0
810.516,367.222,507042,98938,8488,1.22178e+06,1.33382e+06,233685,91017,103829,252438,187525,75486.3,3.19121e+08,7.5113e+08,8,104,90450,0,0,0,0
