Mean Block Receive Time_x,Mean Block Propagation Time_x,Mean Block Size_x,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,Iteration,Mean Block Receive Time_y,Mean Block Propagation Time_y,Mean Block Size_y,The average INV,The average GET_HEADERS Bytes,The average Headers Bytes,The average GET_DATA Sent Bytes,The average BLOCK Bytes,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic due to INV messages,Total average traffic due to GET_HEADERS messages,Total average traffic due to HEADERS messages,Total average traffic due to GET_DATA messages,Total average traffic due to BLOCK messages,Total average traffic/node,average Bandwidth Per Node,Label
811.68,496.744,537090,3,189143.0,708697.0,0.002,1427422,1343550,7290,109026,122797,7875,5850,89722,394306656,31895430,7,796.685,456.956,536198,1343690.0,102668.0,115614.0,84480.0,371656000,496.351,496.698,496.744,465.526,2687380.0,205335.0,231229.0,168960.0,743312000,994.148,746605000,1
848.38,253.693,537236,12,42939.3,601522.0,0.012,1350738,1288300,29160,104814,117113,31500,23400,85838,372665952,108290175,90,833.031,233.449,535320,1288250.0,100086.0,111762.0,81935.6,356142000,253.414,253.693,253.735,237.726,2576510.0,200171.0,223524.0,163871.0,712285000,993.679,715449000,1
810.435,326.43,509562,117,5047.53,520653.0,0.133,1207636,1360190,284310,91692,103586,307125,228150,75596,315700546,913903755,66,796.16,300.615,508738,1346050.0,103731.0,116307.0,85130.6,353088000,326.229,326.501,326.604,305.989,2692100.0,207461.0,232614.0,170261.0,706176000,943.456,709479000,1
495.519,0.546845,464850,2,2258.9,297232.0,0.159,17550,20280,4860,1458,1575,5250,3900,1170,4519695,8919675,50,495.466,0.721454,464850,20109.4,1670.62,1804.69,1340.62,4794690,0.663638,0.829317,0.902464,0.721454,40218.8,3341.25,3609.38,2681.25,9589390,876.294,9639240,0
799.309,492.845,539467,7,78660.4,477630.0,0.005,1439098,1364090,17010,106758,122048,18375,13650,88658,400776840,50160585,51,787.027,454.775,537893,1361950.0,101149.0,115568.0,83970.0,378863000,492.51,492.899,492.977,461.931,2723900.0,202298.0,231137.0,167940.0,757727000,1001.38,761052000,1
452.978,0.887308,565624,1,2660.83,118438.0,0.012,23400,23790,2430,1944,2100,2625,1950,1560,7235751,1777920,44,452.954,0.765848,565624,23765.6,1974.38,2132.81,1584.38,6894640,0.608292,0.908287,1.00163,0.765848,47531.2,3948.75,4265.62,3168.75,13789300,1065.25,13848200,0
370.097,0.652792,610082,0,0.0,0.0,0.016,29250,27300,0,2430,2625,0,0,1950,9152583,0,26,370.097,0.802776,610082,27421.9,2278.12,2460.94,1828.12,8580550,0.652792,0.991517,1.00107,0.802776,54843.8,4556.25,4921.88,3656.25,17161100,1148.6,17229100,0
499.369,0.581431,430958,0,0.0,0.0,0.159,17550,16380,0,1458,1575,0,0,1170,3879433,0,11,499.325,0.730843,430958,16453.1,1366.88,1476.56,1096.88,3636970,0.637869,0.84837,0.943721,0.730843,32906.2,2733.75,2953.12,2193.75,7273940,812.747,7314720,0
834.319,366.607,506636,3,164356.0,741741.0,0.005,1389620,1308970,7290,104652,118720,7875,5850,86500,362104217,33382410,70,819.718,337.636,505029,1308250.0,98566.9,111792.0,81459.4,341559000,366.328,366.697,366.77,343.635,2616510.0,197134.0,223584.0,162919.0,683118000,938.876,686318000,1
775.987,411.922,508079,123,4813.52,495655.0,0.133,1258782,1421030,298890,93474,106807,322875,239850,77602,331323188,914650080,32,762.892,379.645,506590,1404970.0,106312.0,120311.0,87742.5,367781000,411.683,411.967,412.116,386.144,2809940.0,212625.0,240622.0,175485.0,735562000,941.402,739001000,1
771.126,500.597,533283,15,36917.4,535982.0,0.012,1477158,1416090,36450,108378,124608,39375,29250,90318,406381665,120616185,67,759.177,461.954,532354,1412260.0,103882.0,119281.0,86501.2,388521000,500.3,500.679,500.764,469.221,2824520.0,207765.0,238562.0,173002.0,777043000,989.21,780486000,1
428.162,1.17021,598481,0,0.0,0.0,0.002,27300,25480,0,2268,2450,0,0,1820,8379989,0,5,428.134,0.830488,598481,25593.8,2126.25,2296.88,1706.25,7856240,0.776426,1.02503,1.04553,0.830488,51187.5,4252.5,4593.75,3412.5,15712500,1126.85,15775900,0
586.231,0.684857,575478,1,5199.06,762985.0,0.289,15600,16510,2430,1296,1400,2625,1950,1040,4417037,11446125,60,586.289,0.751847,575478,16453.1,1366.87,1476.56,1096.88,4856360,0.697807,0.78886,0.887863,0.751847,32906.2,2733.75,2953.12,2193.75,9712710,1083.72,9753500,0
