Mean Block Receive Time_x,Mean Block Size_y,Total average traffic/node,Label
930.738,603763,1136.76,0
494.417,358722,677.304,0
554.536,413433,851.205,0
799.728,525438,975.891,1
449.151,668752,1258.61,0
798.886,517161,960.232,1
1153.42,495276,933.342,0
410.793,589718,1110.42,0
644.926,526586,979.093,1
834.319,505029,938.876,1
590.973,449659,847.811,0
799.309,537893,1001.38,1
797.902,506251,938.41,1
624.082,567459,1068.69,0
781.983,534915,993.499,1
864.447,528085,981.101,1
540.034,430959,812.749,0
833.266,529899,984.258,1
471.946,584773,1101.15,0
542.928,457373,862.276,0
459.759,411055,775.429,0
410.79,589718,1110.42,0
580,594149,1118.73,0
517.662,475198,895.697,0
518.28,584460,1100.56,0
870.379,512707,948.277,1
479.326,525864,990.696,0
810.436,508738,943.456,1
810.836,550899,1022.91,1
415.713,467254,880.802,0
790.479,503872,935.035,1
490.64,625827,1178.13,0
797.903,506251,938.41,1
499.376,430958,812.747,0
810.837,550899,1022.91,1
518.309,584460,1100.56,0
459.783,411055,775.429,0
799.726,514111,957.06,1
798.721,520927,968.594,1
743.344,543394,1011.16,1
776.533,507843,944.735,1
810.836,550899,1022.91,1
820.373,508556,944.674,1
479.356,525864,990.696,0
820.615,522660,969.755,1
819.567,537262,997.652,1
870.379,512707,948.277,1
606.616,389539,735.085,0
798.721,520927,968.594,1
790.996,531427,988.902,1
625.663,738969,1390.27,0
639.869,537893,1001.38,1
794.365,542916,1008.87,1
769.658,520566,964.881,1
830.403,528404,982.408,1
810.795,531248,988.015,1
867.767,519778,963.011,1
368.003,385235,727.016,0
864.306,522868,970.88,1
484.75,360376,680.406,0
596.079,455996,859.692,0
451.262,644458,1213.06,0
